Item #,CPT/HCPCS Code,Description,Modifier,NDC,UOM,NRV,Gross Charge,Cash price,Min insurance pmt,Max insurance pmt,"AARP/UHC MHMO - AARP Medicare Advantage Plans, Dual Complete Special Needs Plans, UnitedHealthcare Medicare Advantage PASSPORT, UnitedHealthcare Medicare Advantage PPO","Aetna Commercial - HMO, POS, PPO EPO, HDHP","Ambetter - Ambetter Bronze, Silver, and Gold plans",Amerigroup - TennCare,"Amerivantage MHMO - Amerivantage Balance Plus (HMO), Amerivantage Classic Plus (HMO-POS), Amerivantage Full Dual Coordination (HMO D-SNP), Amerivantage Dual Premier (HMO D-SNP), Amerivantage Classic (HMO), Amerivantage Balance, Dual Coordination (HMO D-SNP)",Beechstreet - PPO,Blount County Government Cigna via Allegiance,Blue Cross Networks P&S,BlueCare - TennCare,"BlueAdvantage MHMO - BlueAdvantage Sapphire (PPO), BlueAdvantage Freedom (PPO), BlueCare Plus (HMO D-SNP), BlueCare Plus Choice (HMO D-SNP), BlueAdvantage Emerald (PPO), BlueAdvantage Ruby (PPO), BlueAdvantage Diamond (PPO)","Cigna - Connect, HMO, Indemnity, LocalPlus, OAP/Open Access Plus, PPO",Coventry - PPO,"Humana - HMO, Indemnity, POS, PPO","Humana Gold Plus HMO, HumanaChoice PPO, HumanaChoice Regional PPO, Humana Gold Plus SNP-DE",Multiplan - PPO,TennCare Select - TennCare,Three Rivers - PPO,UHC Community Plan - TennCare,"UnitedHealthcare - All Savers Health Plan, Heritage/UHC of the River Valley, Sures, TN Individual Exchange Benefit Plan, UHC Choice/Choice Plus, UHC Choice Advanced/Choice Plus Advanced, UHC Core/Core Essential, UHC EDGE, UHC Navigate, UHC Options PPO","WellCare - Wellcare Dual Access (HMO D-SNP), Wellcare Giveback Open (PPO), Wellcare No Premium (HMO-POS), Wellcare No Premium (PPO), Wellcare Assist (HMO), Wellcare Giveback (HMO), Wellcare Patriot Giveback (HMO-POS)"
3618022,E0749,STIMULATOR BONE SPINAL FUSION MESH SPF,,,,0278,"$19,250.00","$6,545.00","$6,347.00","$17,325.00",N/A,"$17,325.00",N/A,N/A,N/A,"$16,170.00","$9,625.00",N/A,"$6,347.00",N/A,"$7,353.50","$12,512.50","$7,411.25",N/A,"$15,400.00","$6,347.00","$15,400.00",N/A,"$6,679.75",N/A
3618027,,ARTHROCELL BONE GRAFT 5CC,,,,0278,"$13,125.00","$4,462.50","$2,700.00","$11,812.50",N/A,"$11,812.50",N/A,N/A,N/A,"$11,025.00","$6,562.50",N/A,"$2,700.00",N/A,"$5,013.75","$8,531.25","$5,053.13",N/A,"$10,500.00","$2,700.00","$10,500.00",N/A,"$4,554.38",N/A
3618028,C1776,STEM SHLDR HUMERAL COATED POROUS TORNIER,,,,0278,"$15,728.00","$5,347.52","$4,194.00","$14,155.20",N/A,"$14,155.20",N/A,N/A,N/A,"$13,211.52","$7,864.00",N/A,"$4,194.00",N/A,"$6,008.10","$10,223.20","$6,055.28",N/A,"$12,582.40","$4,194.00","$12,582.40",N/A,"$5,457.62",N/A
3618029,C1776,STEM SHLDR HUMERAL COAT POR LONG TORNIER,,,,0278,"$19,695.00","$6,696.30","$5,627.00","$17,725.50",N/A,"$17,725.50",N/A,N/A,N/A,"$16,543.80","$9,847.50",N/A,"$5,627.00",N/A,"$7,523.49","$12,801.75","$7,582.58",N/A,"$15,756.00","$5,627.00","$15,756.00",N/A,"$6,834.17",N/A
3618031,C1776,STEM SHOULDER HUMERAL STAND TORNIER,,,,0278,"$13,309.00","$4,525.06","$3,549.00","$11,978.10",N/A,"$11,978.10",N/A,N/A,N/A,"$11,179.56","$6,654.50",N/A,"$3,549.00",N/A,"$5,084.04","$8,650.85","$5,123.97",N/A,"$10,647.20","$3,549.00","$10,647.20",N/A,"$4,618.22",N/A
3618032,C1776,STEM SHOULDER HUMERAL LONG TORNIER,,,,0278,"$18,443.00","$6,270.62","$4,918.00","$16,598.70",N/A,"$16,598.70",N/A,N/A,N/A,"$15,492.12","$9,221.50",N/A,"$4,918.00",N/A,"$7,045.23","$11,987.95","$7,100.56",N/A,"$14,754.40","$4,918.00","$14,754.40",N/A,"$6,399.72",N/A
3618033,C1776,HEAD SHLDR HUM GLOBAL ECCENTRIC TORNIER,,,,0278,"$9,158.00","$3,113.72","$2,339.00","$8,242.20",N/A,"$8,242.20",N/A,N/A,N/A,"$7,692.72","$4,579.00",N/A,"$2,339.00",N/A,"$3,498.36","$5,952.70","$3,525.83",N/A,"$7,326.40","$2,339.00","$7,326.40",N/A,"$3,177.83",N/A
3618034,C1776,HEAD HUM EXTENDED SIMPLICITI TORNIER,,,,0278,"$10,339.00","$3,515.26","$2,757.00","$9,305.10",N/A,"$9,305.10",N/A,N/A,N/A,"$8,684.76","$5,169.50",N/A,"$2,757.00",N/A,"$3,949.50","$6,720.35","$3,980.52",N/A,"$8,271.20","$2,757.00","$8,271.20",N/A,"$3,587.63",N/A
3618035,C1776,STEM HUM AEQUALIS FX REV TORNIER,,,,0278,"$20,573.00","$6,994.82","$5,365.75","$18,515.70",N/A,"$18,515.70",N/A,N/A,N/A,"$17,281.32","$10,286.50",N/A,"$5,365.75",N/A,"$7,858.89","$13,372.45","$7,920.61",N/A,"$16,458.40","$5,365.75","$16,458.40",N/A,"$7,138.83",N/A
3618036,C1776,STEM HUMERAL AEQUALIS PRESS-FIT TORNIER,,,,0278,"$14,520.00","$4,936.80","$3,872.00","$13,068.00",N/A,"$13,068.00",N/A,N/A,N/A,"$12,196.80","$7,260.00",N/A,"$3,872.00",N/A,"$5,546.64","$9,438.00","$5,590.20",N/A,"$11,616.00","$3,872.00","$11,616.00",N/A,"$5,038.44",N/A
3618037,C1776,STEM HUM ASCEND FLEX PTC STD TORNIER,,,,0278,"$15,087.00","$5,129.58","$4,023.00","$13,578.30",N/A,"$13,578.30",N/A,N/A,N/A,"$12,673.08","$7,543.50",N/A,"$4,023.00",N/A,"$5,763.23","$9,806.55","$5,808.50",N/A,"$12,069.60","$4,023.00","$12,069.60",N/A,"$5,235.19",N/A
3618038,C1776,STEM HUM ASCEND FLEX PTC LONG TORNIER,,,,0278,"$17,606.00","$5,986.04","$4,695.00","$15,845.40",N/A,"$15,845.40",N/A,N/A,N/A,"$14,789.04","$8,803.00",N/A,"$4,695.00",N/A,"$6,725.49","$11,443.90","$6,778.31",N/A,"$14,084.80","$4,695.00","$14,084.80",N/A,"$6,109.28",N/A
3618039,C1776,STEM HUM DST AEQ FLX REV PTC TORNIER 130,,,,0278,"$23,625.00","$8,032.50","$6,750.00","$21,262.50",N/A,"$21,262.50",N/A,N/A,N/A,"$19,845.00","$11,812.50",N/A,"$6,750.00",N/A,"$9,024.75","$15,356.25","$9,095.63",N/A,"$18,900.00","$6,750.00","$18,900.00",N/A,"$8,197.88",N/A
3618040,C1776,STEM HUM DST AEQ FLX REV PTC TORNIER 170,,,,0278,"$27,125.00","$9,222.50","$7,750.00","$24,412.50",N/A,"$24,412.50",N/A,N/A,N/A,"$22,785.00","$13,562.50",N/A,"$7,750.00",N/A,"$10,361.75","$17,631.25","$10,443.13",N/A,"$21,700.00","$7,750.00","$21,700.00",N/A,"$9,412.38",N/A
3618041,C1776,STEM HUM DST AEQ FLX REV PTC TORNIER 210,,,,0278,"$34,125.00","$11,602.50","$9,750.00","$30,712.50",N/A,"$30,712.50",N/A,N/A,N/A,"$28,665.00","$17,062.50",N/A,"$9,750.00",N/A,"$13,035.75","$22,181.25","$13,138.13",N/A,"$27,300.00","$9,750.00","$27,300.00",N/A,"$11,841.38",N/A
3618042,C1776,STEM SHLDR HUM PLAS SPR PRIMARY TORNIER,,,,0278,"$14,502.00","$4,930.68","$3,867.00","$13,051.80",N/A,"$13,051.80",N/A,N/A,N/A,"$12,181.68","$7,251.00",N/A,"$3,867.00",N/A,"$5,539.76","$9,426.30","$5,583.27",N/A,"$11,601.60","$3,867.00","$11,601.60",N/A,"$5,032.19",N/A
3618048,,STONE BASKET NITINOL 4-WIRE NO-TIP,,,,0272,$165.00,$56.10,$90.75,$148.50,N/A,$148.50,N/A,N/A,N/A,$138.60,$90.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$132.00,N/A,$132.00,N/A,N/A,N/A
3618049,,BASKET STONE UROLOGY OLYMPUS,,,,0272,$556.00,$189.04,$271.88,$500.40,N/A,$500.40,N/A,N/A,N/A,$467.04,$305.80,N/A,N/A,N/A,$271.88,N/A,N/A,N/A,$444.80,N/A,$444.80,N/A,N/A,N/A
3618050,,STONE BASKET DISP,,,,0270,$744.00,$252.96,$363.82,$669.60,N/A,$669.60,N/A,N/A,N/A,$624.96,$409.20,N/A,N/A,N/A,$363.82,N/A,N/A,N/A,$595.20,N/A,$595.20,N/A,N/A,N/A
3618051,,BASKET STONE 4 WIRE 1.9FR,,,,0278,$776.00,$263.84,$165.00,$698.40,N/A,$698.40,N/A,N/A,N/A,$651.84,$388.00,N/A,$165.00,N/A,N/A,$504.40,$298.76,N/A,$620.80,$165.00,$620.80,N/A,N/A,N/A
3618053,C1776,STEM HUM AEQUALIS PTC TORNIER,,,,0278,"$12,942.00","$4,400.28","$3,451.00","$11,647.80",N/A,"$11,647.80",N/A,N/A,N/A,"$10,871.28","$6,471.00",N/A,"$3,451.00",N/A,"$4,943.84","$8,412.30","$4,982.67",N/A,"$10,353.60","$3,451.00","$10,353.60",N/A,"$4,490.87",N/A
3618102,,STYLET FLEXISLIP 10FR,,,,0272,$10.00,$3.40,$4.89,$9.00,N/A,$9.00,N/A,N/A,N/A,$8.40,$5.50,N/A,N/A,N/A,$4.89,N/A,N/A,N/A,$8.00,N/A,$8.00,N/A,N/A,N/A
3618107,,SUCTION CURETTE ENDOMETRIAL,,,,0272,$30.00,$10.20,$14.67,$27.00,N/A,$27.00,N/A,N/A,N/A,$25.20,$16.50,N/A,N/A,N/A,$14.67,N/A,N/A,N/A,$24.00,N/A,$24.00,N/A,N/A,N/A
3618109,,SUCTION TUBING D/C,,,,0270,$36.00,$12.24,$17.60,$32.40,N/A,$32.40,N/A,N/A,N/A,$30.24,$19.80,N/A,N/A,N/A,$17.60,N/A,N/A,N/A,$28.80,N/A,$28.80,N/A,N/A,N/A
3618126,,SUCTION VALVE MAJ-209,,,,0270,$61.00,$20.74,$29.83,$54.90,N/A,$54.90,N/A,N/A,N/A,$51.24,$33.55,N/A,N/A,N/A,$29.83,N/A,N/A,N/A,$48.80,N/A,$48.80,N/A,N/A,N/A
3618151,,STONE BASKET DAKOTA M0063905000,,,,0272,$718.00,$244.12,$351.10,$646.20,N/A,$646.20,N/A,N/A,N/A,$603.12,$394.90,N/A,N/A,N/A,$351.10,N/A,N/A,N/A,$574.40,N/A,$574.40,N/A,N/A,N/A
3618152,,STRUT CORTICAL MATRI TIB 15X100MM,,,,0278,"$3,042.00","$1,034.28",$724.00,"$2,737.80",N/A,"$2,737.80",N/A,N/A,N/A,"$2,555.28","$1,521.00",N/A,$724.00,N/A,"$1,162.04","$1,977.30","$1,171.17",N/A,"$2,433.60",$724.00,"$2,433.60",N/A,"$1,055.57",N/A
3618205,,SURGICLIP,,,,0270,$225.00,$76.50,$110.03,$202.50,N/A,$202.50,N/A,N/A,N/A,$189.00,$123.75,N/A,N/A,N/A,$110.03,N/A,N/A,N/A,$180.00,N/A,$180.00,N/A,N/A,N/A
3618207,,INSTRUMENT POUCH,,,,0270,$14.00,$4.76,$6.85,$12.60,N/A,$12.60,N/A,N/A,N/A,$11.76,$7.70,N/A,N/A,N/A,$6.85,N/A,N/A,N/A,$11.20,N/A,$11.20,N/A,N/A,N/A
3618209,,SURGICAL TISSUE POUCH,,,,0270,$405.00,$137.70,$198.05,$364.50,N/A,$364.50,N/A,N/A,N/A,$340.20,$222.75,N/A,N/A,N/A,$198.05,N/A,N/A,N/A,$324.00,N/A,$324.00,N/A,N/A,N/A
3618210,,SURGIFOAM SIZE 50,,,,0272,$80.00,$27.20,$39.12,$72.00,N/A,$72.00,N/A,N/A,N/A,$67.20,$44.00,N/A,N/A,N/A,$39.12,N/A,N/A,N/A,$64.00,N/A,$64.00,N/A,N/A,N/A
3618213,,SURGI NEEDLE,,,,0270,$66.00,$22.44,$32.27,$59.40,N/A,$59.40,N/A,N/A,N/A,$55.44,$36.30,N/A,N/A,N/A,$32.27,N/A,N/A,N/A,$52.80,N/A,$52.80,N/A,N/A,N/A
3618214,,SURGIFLO,,,,0272,$526.00,$178.84,$257.21,$473.40,N/A,$473.40,N/A,N/A,N/A,$441.84,$289.30,N/A,N/A,N/A,$257.21,N/A,N/A,N/A,$420.80,N/A,$420.80,N/A,N/A,N/A
3618215,,TROCAR ENDOPATH,,,,0270,$265.00,$90.10,$129.59,$238.50,N/A,$238.50,N/A,N/A,N/A,$222.60,$145.75,N/A,N/A,N/A,$129.59,N/A,N/A,N/A,$212.00,N/A,$212.00,N/A,N/A,N/A
3618235,C2627,SUPRAPUBIC CATH INTRODUCE,,,,0278,$98.00,$33.32,$19.00,$88.20,N/A,$88.20,N/A,N/A,N/A,$82.32,N/A,N/A,$19.00,N/A,N/A,N/A,N/A,N/A,$78.40,$19.00,$78.40,N/A,N/A,N/A
3618237,L3908,SUPPORT WRIST D-RING,,,,0274,$60.00,$20.40,$48.00,$54.00,N/A,$54.00,N/A,N/A,N/A,$50.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$48.00,$0.00,$48.00,N/A,N/A,N/A
3618239,,SURGIFLOW APPLICATOR,,,,0272,$260.00,$88.40,$127.14,$234.00,N/A,$234.00,N/A,N/A,N/A,$218.40,$143.00,N/A,N/A,N/A,$127.14,N/A,N/A,N/A,$208.00,N/A,$208.00,N/A,N/A,N/A
3618240,,SURGICEL,,,,0270,$349.00,$118.66,$170.66,$314.10,N/A,$314.10,N/A,N/A,N/A,$293.16,$191.95,N/A,N/A,N/A,$170.66,N/A,N/A,N/A,$279.20,N/A,$279.20,N/A,N/A,N/A
3618241,,SURGICEL 2X4 SNOW,,,,0272,$405.00,$137.70,$198.05,$364.50,N/A,$364.50,N/A,N/A,N/A,$340.20,$222.75,N/A,N/A,N/A,$198.05,N/A,N/A,N/A,$324.00,N/A,$324.00,N/A,N/A,N/A
3618242,,SUTURE VICRYL TIES,,,,0272,$34.00,$11.56,$16.63,$30.60,N/A,$30.60,N/A,N/A,N/A,$28.56,$18.70,N/A,N/A,N/A,$16.63,N/A,N/A,N/A,$27.20,N/A,$27.20,N/A,N/A,N/A
3618243,,SUTURE BUTTON BONE,,,,0278,"$1,558.00",$529.72,$350.00,"$1,402.20",N/A,"$1,402.20",N/A,N/A,N/A,"$1,308.72",$779.00,N/A,$350.00,N/A,$595.16,"$1,012.70",$599.83,N/A,"$1,246.40",$350.00,"$1,246.40",N/A,$540.63,N/A
3618246,,SUTURE ETHILON 2-0,,,,0272,$10.00,$3.40,$4.89,$9.00,N/A,$9.00,N/A,N/A,N/A,$8.40,$5.50,N/A,N/A,N/A,$4.89,N/A,N/A,N/A,$8.00,N/A,$8.00,N/A,N/A,N/A
3618247,,"SUTURE VICRYL PLUS 1 VIOLET 27""",,,,0272,$10.00,$3.40,$4.89,$9.00,N/A,$9.00,N/A,N/A,N/A,$8.40,$5.50,N/A,N/A,N/A,$4.89,N/A,N/A,N/A,$8.00,N/A,$8.00,N/A,N/A,N/A
3618248,,SUTURE VICRYL PLUS 2-0,,,,0272,$70.00,$23.80,$34.23,$63.00,N/A,$63.00,N/A,N/A,N/A,$58.80,$38.50,N/A,N/A,N/A,$34.23,N/A,N/A,N/A,$56.00,N/A,$56.00,N/A,N/A,N/A
3618249,,"SUTURE VICRYL PLUS 1 VIOLET 36""",,,,0272,$10.00,$3.40,$4.89,$9.00,N/A,$9.00,N/A,N/A,N/A,$8.40,$5.50,N/A,N/A,N/A,$4.89,N/A,N/A,N/A,$8.00,N/A,$8.00,N/A,N/A,N/A
3618250,,SUTURE VICRYL 2-0,,,,0272,$15.00,$5.10,$7.34,$13.50,N/A,$13.50,N/A,N/A,N/A,$12.60,$8.25,N/A,N/A,N/A,$7.34,N/A,N/A,N/A,$12.00,N/A,$12.00,N/A,N/A,N/A
3618251,,SUTURE ETHIBOND 0 OR 2,,,,0272,$10.00,$3.40,$4.89,$9.00,N/A,$9.00,N/A,N/A,N/A,$8.40,$5.50,N/A,N/A,N/A,$4.89,N/A,N/A,N/A,$8.00,N/A,$8.00,N/A,N/A,N/A
3618252,,SUTURE ETHIBOND 3,,,,0272,$27.00,$9.18,$13.20,$24.30,N/A,$24.30,N/A,N/A,N/A,$22.68,$14.85,N/A,N/A,N/A,$13.20,N/A,N/A,N/A,$21.60,N/A,$21.60,N/A,N/A,N/A
3618253,,SUTURE ETHILON,,,,0272,$10.00,$3.40,$4.89,$9.00,N/A,$9.00,N/A,N/A,N/A,$8.40,$5.50,N/A,N/A,N/A,$4.89,N/A,N/A,N/A,$8.00,N/A,$8.00,N/A,N/A,N/A
3618255,,SUTURE ETHILON 10-0,,,,0272,$52.00,$17.68,$25.43,$46.80,N/A,$46.80,N/A,N/A,N/A,$43.68,$28.60,N/A,N/A,N/A,$25.43,N/A,N/A,N/A,$41.60,N/A,$41.60,N/A,N/A,N/A
3618256,,SUTURE PDS,,,,0272,$10.00,$3.40,$4.89,$9.00,N/A,$9.00,N/A,N/A,N/A,$8.40,$5.50,N/A,N/A,N/A,$4.89,N/A,N/A,N/A,$8.00,N/A,$8.00,N/A,N/A,N/A
3618257,,SUTURE PROLENE 3-0,,,,0272,$17.00,$5.78,$8.31,$15.30,N/A,$15.30,N/A,N/A,N/A,$14.28,$9.35,N/A,N/A,N/A,$8.31,N/A,N/A,N/A,$13.60,N/A,$13.60,N/A,N/A,N/A
3618258,,SUTURE PROLENE 4-0 TO 6-0,,,,0272,$25.00,$8.50,$12.23,$22.50,N/A,$22.50,N/A,N/A,N/A,$21.00,$13.75,N/A,N/A,N/A,$12.23,N/A,N/A,N/A,$20.00,N/A,$20.00,N/A,N/A,N/A
3618259,,SUTURE PROLENE 7-0,,,,0272,$21.00,$7.14,$10.27,$18.90,N/A,$18.90,N/A,N/A,N/A,$17.64,$11.55,N/A,N/A,N/A,$10.27,N/A,N/A,N/A,$16.80,N/A,$16.80,N/A,N/A,N/A
3618261,,SUTURE SUPRAMID,,,,0272,$28.00,$9.52,$13.69,$25.20,N/A,$25.20,N/A,N/A,N/A,$23.52,$15.40,N/A,N/A,N/A,$13.69,N/A,N/A,N/A,$22.40,N/A,$22.40,N/A,N/A,N/A
3618262,,SUTURE VICRYL 0 & 2,,,,0272,$71.00,$24.14,$34.72,$63.90,N/A,$63.90,N/A,N/A,N/A,$59.64,$39.05,N/A,N/A,N/A,$34.72,N/A,N/A,N/A,$56.80,N/A,$56.80,N/A,N/A,N/A
3618263,,SUTURE VICRYL 1 & 8,,,,0272,$15.00,$5.10,$7.34,$13.50,N/A,$13.50,N/A,N/A,N/A,$12.60,$8.25,N/A,N/A,N/A,$7.34,N/A,N/A,N/A,$12.00,N/A,$12.00,N/A,N/A,N/A
3618265,,SUTURE VICRYL 10-0,,,,0272,$95.00,$32.30,$46.46,$85.50,N/A,$85.50,N/A,N/A,N/A,$79.80,$52.25,N/A,N/A,N/A,$46.46,N/A,N/A,N/A,$76.00,N/A,$76.00,N/A,N/A,N/A
3618266,,SUTURE CHROMIC,,,,0272,$16.00,$5.44,$7.82,$14.40,N/A,$14.40,N/A,N/A,N/A,$13.44,$8.80,N/A,N/A,N/A,$7.82,N/A,N/A,N/A,$12.80,N/A,$12.80,N/A,N/A,N/A
3618267,,SUTURE PLAIN 4-0,,,,0272,$30.00,$10.20,$14.67,$27.00,N/A,$27.00,N/A,N/A,N/A,$25.20,$16.50,N/A,N/A,N/A,$14.67,N/A,N/A,N/A,$24.00,N/A,$24.00,N/A,N/A,N/A
3618268,,SUTURE SILK 0,,,,0272,$43.00,$14.62,$21.03,$38.70,N/A,$38.70,N/A,N/A,N/A,$36.12,$23.65,N/A,N/A,N/A,$21.03,N/A,N/A,N/A,$34.40,N/A,$34.40,N/A,N/A,N/A
3618270,,SUTURE SILK 2-0,,,,0272,$20.00,$6.80,$9.78,$18.00,N/A,$18.00,N/A,N/A,N/A,$16.80,$11.00,N/A,N/A,N/A,$9.78,N/A,N/A,N/A,$16.00,N/A,$16.00,N/A,N/A,N/A
3618271,,SUTURE STEEL 4-0,,,,0272,$40.00,$13.60,$19.56,$36.00,N/A,$36.00,N/A,N/A,N/A,$33.60,$22.00,N/A,N/A,N/A,$19.56,N/A,N/A,N/A,$32.00,N/A,$32.00,N/A,N/A,N/A
3618272,,SUTURE CHROMIC 5-0,,,,0272,$16.00,$5.44,$7.82,$14.40,N/A,$14.40,N/A,N/A,N/A,$13.44,$8.80,N/A,N/A,N/A,$7.82,N/A,N/A,N/A,$12.80,N/A,$12.80,N/A,N/A,N/A
3618274,,SUTURE PDS 2-0,,,,0272,$60.00,$20.40,$29.34,$54.00,N/A,$54.00,N/A,N/A,N/A,$50.40,$33.00,N/A,N/A,N/A,$29.34,N/A,N/A,N/A,$48.00,N/A,$48.00,N/A,N/A,N/A
3618275,,SUTURE PDS 3-0,,,,0272,$15.00,$5.10,$7.34,$13.50,N/A,$13.50,N/A,N/A,N/A,$12.60,$8.25,N/A,N/A,N/A,$7.34,N/A,N/A,N/A,$12.00,N/A,$12.00,N/A,N/A,N/A
3618276,,SUTURE PDS LOOP,,,,0272,$50.00,$17.00,$24.45,$45.00,N/A,$45.00,N/A,N/A,N/A,$42.00,$27.50,N/A,N/A,N/A,$24.45,N/A,N/A,N/A,$40.00,N/A,$40.00,N/A,N/A,N/A
3618277,,SUTURE 1PDS PLUS,,,,0272,$105.00,$35.70,$51.35,$94.50,N/A,$94.50,N/A,N/A,N/A,$88.20,$57.75,N/A,N/A,N/A,$51.35,N/A,N/A,N/A,$84.00,N/A,$84.00,N/A,N/A,N/A
3618278,,SUTURE LABRAL TAPE,,,,0272,$350.00,$119.00,$171.15,$315.00,N/A,$315.00,N/A,N/A,N/A,$294.00,$192.50,N/A,N/A,N/A,$171.15,N/A,N/A,N/A,$280.00,N/A,$280.00,N/A,N/A,N/A
3618279,,SUTURE TAPE WHITE/BLUE,,,,0272,$175.00,$59.50,$85.58,$157.50,N/A,$157.50,N/A,N/A,N/A,$147.00,$96.25,N/A,N/A,N/A,$85.58,N/A,N/A,N/A,$140.00,N/A,$140.00,N/A,N/A,N/A
3618280,C1713,SUTURE ANCHOR FIBERTAK DX AR-8,,,,0278,"$1,488.00",$505.92,$425.00,"$1,339.20",N/A,"$1,339.20",N/A,N/A,N/A,"$1,249.92",$744.00,N/A,$425.00,N/A,$568.42,$967.20,$572.88,N/A,"$1,190.40",$425.00,"$1,190.40",N/A,$516.34,N/A
3618281,,SUTURE FIBER FORCE LOOPED W/ NDL,,,,0272,$38.00,$12.92,$18.58,$34.20,N/A,$34.20,N/A,N/A,N/A,$31.92,$20.90,N/A,N/A,N/A,$18.58,N/A,N/A,N/A,$30.40,N/A,$30.40,N/A,N/A,N/A
3618282,,SUTURE IMPLANT PARS,,,,0272,"$3,150.00","$1,071.00","$1,540.35","$2,835.00",N/A,"$2,835.00",N/A,N/A,N/A,"$2,646.00","$1,732.50",N/A,N/A,N/A,"$1,540.35",N/A,N/A,N/A,"$2,520.00",N/A,"$2,520.00",N/A,N/A,N/A
3618283,C1713,SUTURE ULTRABRAID #2,,,,0278,$97.00,$32.98,$77.60,$192.40,N/A,$87.30,N/A,N/A,N/A,$81.48,N/A,N/A,$192.40,N/A,N/A,N/A,N/A,N/A,$77.60,$97.00,$77.60,N/A,N/A,N/A
3618284,,SUTURE SYSTEM MENSICAL REPAIR NOVOSTITCH,,,,0278,"$2,221.00",$755.14,$499.00,"$1,998.90",N/A,"$1,998.90",N/A,N/A,N/A,"$1,865.64","$1,110.50",N/A,$499.00,N/A,$848.42,"$1,443.65",$855.09,N/A,"$1,776.80",$499.00,"$1,776.80",N/A,$770.69,N/A
3618285,,SUTURE CARTRIDGE NOVOSTITCH PLUS,,,,0272,"$1,892.00",$643.28,$925.19,"$1,702.80",N/A,"$1,702.80",N/A,N/A,N/A,"$1,589.28","$1,040.60",N/A,N/A,N/A,$925.19,N/A,N/A,N/A,"$1,513.60",N/A,"$1,513.60",N/A,N/A,N/A
3618286,,SUTURE MANAGER NOVOCUT,,,,0278,$602.00,$204.68,$150.33,$541.80,N/A,$541.80,N/A,N/A,N/A,$505.68,$301.00,N/A,$150.33,N/A,N/A,$391.30,N/A,N/A,$481.60,$150.33,$481.60,N/A,N/A,N/A
3618287,,SUTURE GORETEX CV-0,,,,0272,"$1,155.00",$392.70,$564.80,"$1,039.50",N/A,"$1,039.50",N/A,N/A,N/A,$970.20,$635.25,N/A,N/A,N/A,$564.80,N/A,N/A,N/A,$924.00,N/A,$924.00,N/A,N/A,N/A
3618302,,SUT CARTR SPDSTCH 0M8085,,,,0272,$400.00,$136.00,$195.60,$360.00,N/A,$360.00,N/A,N/A,N/A,$336.00,$220.00,N/A,N/A,N/A,$195.60,N/A,N/A,N/A,$320.00,N/A,$320.00,N/A,N/A,N/A
3618303,,SUT CARTR SPDSTCH 0M8086,,,,0272,$432.00,$146.88,$211.25,$388.80,N/A,$388.80,N/A,N/A,N/A,$362.88,$237.60,N/A,N/A,N/A,$211.25,N/A,N/A,N/A,$345.60,N/A,$345.60,N/A,N/A,N/A
3618304,,SUT CAR SMRTST PP 0M8175,,,,0272,$504.00,$171.36,$246.46,$453.60,N/A,$453.60,N/A,N/A,N/A,$423.36,$277.20,N/A,N/A,N/A,$246.46,N/A,N/A,N/A,$403.20,N/A,$403.20,N/A,N/A,N/A
3618305,,SUT CAR SMRTST PP 0M8176,,,,0272,$524.00,$178.16,$256.24,$471.60,N/A,$471.60,N/A,N/A,N/A,$440.16,$288.20,N/A,N/A,N/A,$256.24,N/A,N/A,N/A,$419.20,N/A,$419.20,N/A,N/A,N/A
3618306,,SUTURE MAGNUMWIRE COBRAID,,,,0272,$75.00,$25.50,$36.68,$67.50,N/A,$67.50,N/A,N/A,N/A,$63.00,$41.25,N/A,N/A,N/A,$36.68,N/A,N/A,N/A,$60.00,N/A,$60.00,N/A,N/A,N/A
3618308,C1713,SUTURE ANCHOR QFIX ALL,,,,0278,"$1,580.00",$537.20,$353.57,"$1,422.00",N/A,"$1,422.00",N/A,N/A,N/A,"$1,327.20",$790.00,N/A,$353.57,N/A,$603.56,"$1,027.00",$608.30,N/A,"$1,264.00",$353.57,"$1,264.00",N/A,$548.26,N/A
3618309,C1713,SUTURE ANCHOR ICONIX,,,,0278,"$2,030.00",$690.20,$437.06,"$1,827.00",N/A,"$1,827.00",N/A,N/A,N/A,"$1,705.20","$1,015.00",N/A,$437.06,N/A,$775.46,"$1,319.50",$781.55,N/A,"$1,624.00",$437.06,"$1,624.00",N/A,$704.41,N/A
3618311,C1713,SUTURE BRIDGE ACHILLES,,,,0278,"$4,800.00","$1,632.00","$1,200.00","$4,320.00",N/A,"$4,320.00",N/A,N/A,N/A,"$4,032.00","$2,400.00",N/A,"$1,200.00",N/A,"$1,833.60","$3,120.00","$1,848.00",N/A,"$3,840.00","$1,200.00","$3,840.00",N/A,"$1,665.60",N/A
3618312,,SUTURE BUTTON,,,,0278,$490.00,$166.60,$98.00,$441.00,N/A,$441.00,N/A,N/A,N/A,$411.60,N/A,N/A,$98.00,N/A,N/A,N/A,N/A,N/A,$392.00,$98.00,$392.00,N/A,N/A,N/A
3618315,,SUTURE MONOCRYL,,,,0272,$76.00,$25.84,$37.16,$68.40,N/A,$68.40,N/A,N/A,N/A,$63.84,$41.80,N/A,N/A,N/A,$37.16,N/A,N/A,N/A,$60.80,N/A,$60.80,N/A,N/A,N/A
